Category,Full Name,Pokepaste,EVs,Tournament / Event,Rank,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
In Person Event,Lim Yen Cheng,https://pokepast.es/7c94ad2be95a370b,Yes,Malaysia Premier Ball League 2025,4th,Delphox,Torkoal,Ursaluna,Indeedee,Porygon2,Dragonite
In Person Event,Lee Jin Yang,https://pokepast.es/3e5251307c6a15a6,No,Malaysia Premier Ball League 2025,5th,Dondozo,Rillaboom,Electabuzz,Sneasler,Gholdengo,Kommo-o
In Person Event,Tan Yi Ann,https://pokepast.es/5bdac8b56242e888,No,Malaysia Premier Ball League 2025,6th,Torkoal,Lilligant-Hisui,Gallade,Ursaluna,Indeedee-F,Hatterene
In Person Event,Aqlif Putra,https://pokepast.es/9e64f63863844db5,Yes,Malaysia Premier Ball League 2025,7th,Incineroar,Primarina,Rillaboom,Sneasler,Archaludon,Dragonite
In Person Event,Wong Yan Yung,https://pokepast.es/e61690e5782770aa,No,Malaysia Premier Ball League 2025,8th,Charizard,Incineroar,Torkoal,Jumpluff,Ursaluna,Porygon2
In Person Event,Sebastián Rodríguez,https://pokepast.es/ab6619e6dbd864ec,Yes,Bogota Special 2025,2nd,Incineroar,Amoonguss,Sneasler,Ursaluna-Bloodmoon,Gholdengo,Dragonite
In Person Event,Eden Batchelor,https://pokepast.es/36c096af41605b97,Yes,Stuttgart Regional 2025,1st,Incineroar,Amoonguss,Sneasler,Ursaluna-Bloodmoon,Gholdengo,Dragonite
In Person Event,Francesco Pio Pero,https://pokepast.es/2646c11ca1b264f0,No,Stuttgart Regional 2025,2nd,Incineroar,Basculegion,Pelipper,Amoonguss,Gholdengo,Archaludon
In Person Event,Théotime Massaut,https://pokepast.es/2fa2b7d2e2c1c46a,No,Stuttgart Regional 2025,3rd,Incineroar,Amoonguss,Ursaluna,Porygon2,Gholdengo,Hydreigon
In Person Event,Fabian Braun,https://pokepast.es/f2610ff381df20dd,Yes,Stuttgart Regional 2025,4th,Volcarona,Rillaboom,Electabuzz,Sneasler,Kingambit,Dragonite
In Person Event,Rayan Guezi,https://pokepast.es/a2e9232f7099408b,No,Stuttgart Regional 2025,5th,Talonflame,Milotic,Amoonguss,Tyranitar,Gholdengo,Garchomp
In Person Event,Francesco Di Biase,https://pokepast.es/eae00269bd85d982,No,Stuttgart Regional 2025,6th,Incineroar,Amoonguss,Ursaluna,Vivillon,Porygon2,Gholdengo
In Person Event,Joseph Ugarte,https://pokepast.es/35e0929ba07bd6d0,No,Stuttgart Regional 2025,7th,Torkoal,Typhlosion-Hisui,Jumpluff,Kingambit,Dragonite,Garchomp
In Person Event,Mattie Morgan,https://pokepast.es/0b2c1ff4e929998e,No,Stuttgart Regional 2025,8th,Incineroar,Amoonguss,Sneasler,Porygon2,Gholdengo,Dragonite
In Person Event,Flavio Del Pidio,https://pokepast.es/bd452d91dc130448,No,Stuttgart Regional 2025,9th,Incineroar,Basculegion,Pelipper,Amoonguss,Gholdengo,Archaludon
In Person Event,Jonathan Marston,https://pokepast.es/1a950066a9a6c6c0,Yes,Stuttgart Regional 2025,10th,Incineroar,Basculegion,Pelipper,Sinistcha,Archaludon,Dragonite
In Person Event,Sidy Badiane,https://pokepast.es/8b291f8c16ff52f8,Yes,Stuttgart Regional 2025,11th,Annihilape,Ursaluna-Bloodmoon,Magmar,Gholdengo,Ninetales-Alola,Dragonite
In Person Event,Hippolyte Bernard,https://pokepast.es/5164acfe6963b630,No,Stuttgart Regional 2025,12th,Incineroar,Amoonguss,Tyranitar,Ursaluna,Porygon2,Gholdengo
In Person Event,Alex Gómez,https://pokepast.es/830776a374731af7,No,Stuttgart Regional 2025,13th,Incineroar,Volcarona,Rillaboom,Annihilape,Ursaluna-Bloodmoon,Dragonite
In Person Event,Marius Twardowski,https://pokepast.es/32721eac7d994218,No,Stuttgart Regional 2025,14th,Basculegion,Pelipper,Annihilape,Maushold-Family-of-Four,Sinistcha,Archaludon
In Person Event,Shai Rabà,https://pokepast.es/79af413b0500296e,No,Stuttgart Regional 2025,15th,Incineroar,Talonflame,Electabuzz,Sneasler,Ursaluna-Bloodmoon,Indeedee
In Person Event,Luca Ceribelli,https://pokepast.es/830eb2def449f5e1,No,Stuttgart Regional 2025,16th,Incineroar,Pelipper,Ursaluna,Sinistcha,Archaludon,Dragonite
In Person Event,Alex Soto,https://pokepast.es/8ae36fb4e61e249a,No,Stuttgart Regional 2025,17th,Armarouge,Torkoal,Lilligant-Hisui,Ursaluna,Indeedee-F,Hatterene
In Person Event,Yoel Ramírez,https://pokepast.es/f79f5c1c68ce45e2,No,Stuttgart Regional 2025,18th,Incineroar,Pelipper,Ursaluna,Sinistcha,Archaludon,Dragonite
In Person Event,Jan Schultis,https://pokepast.es/e135c57dc22555ea,No,Stuttgart Regional 2025,19th,Volcarona,Rillaboom,Sneasler,Drifblim,Kingambit,Garchomp
In Person Event,Hsuan-Chih Kuo,https://pokepast.es/b73c36945f8aa354,Yes,Stuttgart Regional 2025,20th,Volcarona,Rillaboom,Sneasler,Maushold-Family-of-Four,Gholdengo,Dragonite
In Person Event,Matteo Ferrari,https://pokepast.es/fa921df56300f743,No,Stuttgart Regional 2025,21th,Talonflame,Electabuzz,Sneasler,Ursaluna-Bloodmoon,Indeedee,Dragonite
In Person Event,Joseph Martin,https://pokepast.es/f7b6e0c4e05a5d24,No,Stuttgart Regional 2025,22th,Arcanine-Hisui,Amoonguss,Sneasler,Ursaluna-Bloodmoon,Indeedee,Murkrow
In Person Event,Nils Schlatter,https://pokepast.es/cf407dae651b6b02,Yes,Stuttgart Regional 2025,40th,Torkoal,Gallade,Ursaluna,Zoroark-Hisui,Indeedee-F,Hatterene
In Person Event,Aniello Pio La Pietra,https://pokepast.es/657553f70f86ebba,Yes,Stuttgart Regional 2025,52th,Incineroar,Amoonguss,Ursaluna,Yanmega,Porygon2,Gholdengo
In Person Event,johnnychiou36,https://pokepast.es/26504864ac1d01e3,Yes,Taiwan Premier Ball League 2025,1st,Torkoal,Lilligant-Hisui,Gallade,Ursaluna,Indeedee-F,Hatterene
In Person Event,Fang Yu-Yang,https://pokepast.es/e989df20e45c0107,Yes,Taiwan Premier Ball League 2025,2nd,Volcarona,Annihilape,Ursaluna-Bloodmoon,Gholdengo,Grimmsnarl,Dragonite
In Person Event,Sie Meng-Ru,https://pokepast.es/5bced2e542db1a06?fbclid=IwY2xjawG9W2tleHRuA2FlbQIxMAABHaUJ7L_fTNXYSNkI4o9Y9WaGDNzdKXoVFKaO5p7wsdkuiqLiQRo39_ts0A_aem_8N7ZQXhojJ2K1IPMDHEQng,Yes,Taiwan Premier Ball League 2025,3rd,Annihilape,Ursaluna-Bloodmoon,Magmar,Gholdengo,Ninetales-Alola,Dragonite
In Person Event,Chuang Yu-peng,https://pokepast.es/a186f67c2f73b299,Yes,Taiwan Premier Ball League 2025,4th,Incineroar,Rillaboom,Electabuzz,Annihilape,Gholdengo,Dragonite
In Person Event,Lin Ching-Chieh,https://pokepast.es/bd115ec3763eb1c9?fbclid=IwY2xjawG9bnZleHRuA2FlbQIxMAABHchhxunre5X-24LZvsaHrW9sUUVIk4LcPKZth9aeD-FDCCL6yqOQMr_nUA_aem_17f5YgYg_Ajk4nPxDcSQrg,Yes,Taiwan Premier Ball League 2025,5th,Rotom-Wash,Amoonguss,Excadrill,Flamigo,Tyranitar,Corviknight
In Person Event,Li Cheng-Lin,https://pokepast.es/f4f59ebbd2445b90?fbclid=IwY2xjawG9bpdleHRuA2FlbQIxMAABHd1bVNjhEk10NU7a8SLe8XMLlZytK3FEGi_hAWh_bE1tVdgRjcXMkTfAtg_aem_lJImR1gbKjJFXR-ySqtO-g,Yes,Taiwan Premier Ball League 2025,6th,Charizard,Incineroar,Torkoal,Jumpluff,Ursaluna,Porygon2
In Person Event,Ku Chao-Chen,https://pokepast.es/2f9ee9e4140f9200?fbclid=IwY2xjawG9bmRleHRuA2FlbQIxMAABHchhxunre5X-24LZvsaHrW9sUUVIk4LcPKZth9aeD-FDCCL6yqOQMr_nUA_aem_17f5YgYg_Ajk4nPxDcSQrg,Yes,Taiwan Premier Ball League 2025,7th,Armarouge,Sneasler,Murkrow,Gholdengo,Kingambit,Archaludon
In Person Event,Yang Da-Wei,https://pokepast.es/230501394f11e917?fbclid=IwY2xjawG9beNleHRuA2FlbQIxMAABHQNmgWv4aXXY2idojPRRX4TTi2MtTprxEE-lCDUOyayf-PGIEKzAnjrdBw_aem_p_5ln7KRw11VpFmBAxcwVw,Yes,Taiwan Premier Ball League 2025,8th,Typhlosion-Hisui,Dondozo,Tatsugiri,Sneasler,Indeedee,Dragonite
In Person Event,Lo Chung-Yu,https://pokepast.es/19c24a0e188ca3e0?fbclid=IwY2xjawG9b5dleHRuA2FlbQIxMAABHUmBizqUtDTi9KL4eTgfalMBO11YFrw5sc4Diobov8TA_ieB7yWfxK6CDw_aem_Lr_k9yRkJe5eRmHikRBh4A,Yes,Taiwan Premier Ball League 2025,9th,Typhlosion-Hisui,Indeedee,Murkrow,Gholdengo,Orthworm,Garchomp
In Person Event,Chang Chun-Yuan,https://pokepast.es/dde0ca0b6d6e7551?fbclid=IwY2xjawG9b4RleHRuA2FlbQIxMAABHbTvbN-gLfce9oHMV2Sbblt_AbfsB29zMn6A4W14De_8A_GEuwfTwgmUOQ_aem_cp8u4EvV3YTikIgar2Cbtg,Yes,Taiwan Premier Ball League 2025,10th,Volcarona,Basculegion,Sneasler,Murkrow,Gholdengo,Archaludon
In Person Event,Yeh Heng-Hsi,https://pokepast.es/8723b26105800783?fbclid=IwY2xjawG9bwlleHRuA2FlbQIxMAABHaUJ7L_fTNXYSNkI4o9Y9WaGDNzdKXoVFKaO5p7wsdkuiqLiQRo39_ts0A_aem_8N7ZQXhojJ2K1IPMDHEQng,Yes,Taiwan Premier Ball League 2025,11th,Charizard,Torkoal,Lilligant-Hisui,Rillaboom,Sneasler,Porygon2
In Person Event,Huang Hao-Lung,https://pokepast.es/2408dabbdd182f58?fbclid=IwY2xjawG9bvdleHRuA2FlbQIxMAABHQNmgWv4aXXY2idojPRRX4TTi2MtTprxEE-lCDUOyayf-PGIEKzAnjrdBw_aem_p_5ln7KRw11VpFmBAxcwVw,Yes,Taiwan Premier Ball League 2025,12th,Dondozo,Pelipper,Rillaboom,Sneasler,Ursaluna-Bloodmoon,Kingambit
In Person Event,Tsai Ching-Che,https://pokepast.es/41d9d22ff54459c3,Yes,Taiwan Premier Ball League 2025,13th,Incineroar,Amoonguss,Rillaboom,Sneasler,Gholdengo,Goodra-Hisui
In Person Event,Jiang Jin-Hao,https://pokepast.es/a19a26ca7acf0e9e,Yes,Taiwan Premier Ball League 2025,14th,Torkoal,Lilligant-Hisui,Gallade,Ursaluna,Indeedee-F,Hatterene
In Person Event,Chiu Yuan-Ming,https://pokepast.es/7174a3e51d6bf528,Yes,Taiwan Premier Ball League 2025,15th,Pelipper,Ursaluna,Sinistcha,Gholdengo,Archaludon,Dragonite
In Person Event,Huang Yang-Jie,https://pokepast.es/3a7bca6bf2d1117b?fbclid=IwY2xjawG9WixleHRuA2FlbQIxMAABHQNmgWv4aXXY2idojPRRX4TTi2MtTprxEE-lCDUOyayf-PGIEKzAnjrdBw_aem_p_5ln7KRw11VpFmBAxcwVw,Yes,Taiwan Premier Ball League 2025,16th,Pelipper,Ursaluna,Sinistcha,Gholdengo,Archaludon,Dragonite
In Person Event,Carson Confer,https://pokepast.es/f7c8f19c66a8fe64,Yes,Sacramento Regional 2025,1st,Incineroar,Talonflame,Electabuzz,Sneasler,Ursaluna-Bloodmoon,Indeedee
In Person Event,Joseph Ugarte,https://pokepast.es/ec7d877c5d3aec14,No,Sacramento Regional 2025,2nd,Torkoal,Typhlosion-Hisui,Jumpluff,Kingambit,Dragonite,Garchomp
In Person Event,Marcus Dion,https://pokepast.es/f7c8f19c66a8fe64,Yes,Sacramento Regional 2025,3rd,Incineroar,Talonflame,Electabuzz,Sneasler,Ursaluna-Bloodmoon,Indeedee
In Person Event,Akhil Goel,https://pokepast.es/ca17e92d33c08d2d,Yes,Sacramento Regional 2025,4th,Incineroar,Amoonguss,Sneasler,Corviknight,Archaludon,Garchomp
In Person Event,David Hutner,https://pokepast.es/dffcecf3d1e93647,No,Sacramento Regional 2025,5th,Incineroar,Palafin,Pelipper,Amoonguss,Gholdengo,Hydreigon
In Person Event,Erich Schrader,https://pokepast.es/7c2aa4dcaefec291,No,Sacramento Regional 2025,6th,Annihilape,Excadrill,Sneasler,Tyranitar,Indeedee,Maushold-Family-of-Four
In Person Event,Caelan Brown,https://pokepast.es/b643b12da1cc6fcc,Yes,Sacramento Regional 2025,7th,Incineroar,Amoonguss,Porygon2,Gholdengo,Garchomp,Hydreigon
In Person Event,Aaron Brok,https://pokepast.es/eb128acaaf8f591c,No,Sacramento Regional 2025,8th,Pelipper,Ursaluna,Sinistcha,Gholdengo,Archaludon,Dragonite
In Person Event,Brian Collins,https://pokepast.es/57c6d4c5ce4dd472,No,Sacramento Regional 2025,9th,Torkoal,Gallade,Ursaluna,Indeedee-F,Maushold-Family-of-Four,Hatterene
In Person Event,Chase Matteo,https://pokepast.es/6addd06ca5fc06df,No,Sacramento Regional 2025,10th,Incineroar,Basculegion,Pelipper,Amoonguss,Gholdengo,Archaludon
In Person Event,Dillon Clark,https://pokepast.es/9916dba8b135fef9,No,Sacramento Regional 2025,11th,Talonflame,Electabuzz,Sneasler,Ursaluna-Bloodmoon,Indeedee,Archaludon
In Person Event,Hunter Braum,https://pokepast.es/54fb39cbc583c00f,No,Sacramento Regional 2025,12th,Incineroar,Amoonguss,Sneasler,Ursaluna-Bloodmoon,Gholdengo,Dragonite
In Person Event,Joji Kaieda,https://pokepast.es/9062ac69ba0432aa,No,Sacramento Regional 2025,13th,Incineroar,Pelipper,Ursaluna,Sinistcha,Archaludon,Dragonite
In Person Event,Alex Underhill,https://pokepast.es/7991e5000add94dc,No,Sacramento Regional 2025,14th,Pelipper,Ursaluna,Sinistcha,Gholdengo,Archaludon,Dragonite
In Person Event,Don Czech,https://pokepast.es/adaaec2cef7fc89d,No,Sacramento Regional 2025,15th,Pelipper,Ursaluna,Sinistcha,Gholdengo,Archaludon,Dragonite
In Person Event,Joseph Selmer,https://pokepast.es/e424df27657d6caa,No,Sacramento Regional 2025,16th,Basculegion,Pelipper,Amoonguss,Sneasler,Indeedee,Archaludon
In Person Event,Karan Mehta,https://pokepast.es/ed9596a3ba38ed90,No,Sacramento Regional 2025,17th,Rillaboom,Glimmora,Kingambit,Grimmsnarl,Dragapult,Kommo-o
In Person Event,Feiyang Liu,https://pokepast.es/0f0d009d58d760e7,Yes,Sacramento Regional 2025,18th,Incineroar,Annihilape,Ursaluna-Bloodmoon,Whimsicott,Archaludon,Dragonite
In Person Event,Aaron Traylor,https://pokepast.es/e1e360cc02594726,No,Sacramento Regional 2025,19th,Pelipper,Ursaluna,Sinistcha,Gholdengo,Archaludon,Dragonite
In Person Event,Benjamin Harlan,https://pokepast.es/74d2448942e419f9,Yes,Sacramento Regional 2025,20th,Basculegion,Pelipper,Rillaboom,Ursaluna-Bloodmoon,Murkrow,Archaludon
In Person Event,Brandon Davis,https://pokepast.es/843e7bb9110cc7ef,Yes,Sacramento Regional 2025,39th,Armarouge,Abomasnow,Sneasler,Ursaluna,Indeedee-F,Dragapult
In Person Event,Stefan Mott,https://pokepast.es/e6263da8b7a67b52,Yes,Sacramento Regional 2025,40th,Incineroar,Dondozo,Garganacl,Sneasler,Gholdengo,Ninetales-Alola
In Person Event,Stefan Mott,https://pokepast.es/e6263da8b7a67b52,Yes,LAIC 2025,50th ,Incineroar,Dondozo,Garganacl,Sneasler,Gholdengo,Ninetales-Alola
In Person Event,Ryukichi S.,https://pokepast.es/8029294ae30d52ff,Yes,Sacramento Regional 2025,2nd,Talonflame,Basculegion,Pelipper,Ursaluna-Bloodmoon,Overqwil,Archaludon
In Person Event,Marco Silva,https://pokepast.es/7931aa1be1fcda26,Yes,LAIC 2025,1st,Charizard,Incineroar,Torkoal,Jumpluff,Ursaluna,Porygon2
In Person Event,Víctor Medina,https://pokepast.es/3ef9dd4155894a25,No,LAIC 2025,2nd,Pelipper,Ursaluna,Sinistcha,Gholdengo,Archaludon,Dragonite
In Person Event,Ashton Cox,https://pokepast.es/a032a08a2bb78437,Yes,LAIC 2025,3rd,Dondozo,Rillaboom,Electabuzz,Sneasler,Gholdengo,Kommo-o
In Person Event,Renzo Navarro,https://pokepast.es/0c2fbad65f67ea9c,No,LAIC 2025,4th,Volcarona,Basculegion,Rillaboom,Sneasler,Kingambit,Baxcalibur
In Person Event,Eric Ríos,https://pokepast.es/9522cab713417d11,No,LAIC 2025,5th,Incineroar,Rillaboom,Electabuzz,Annihilape,Gholdengo,Dragonite
In Person Event,Daniel Marcelo Reyes,https://pokepast.es/63cc840a9ebe1947,No,LAIC 2025,6th,Volcarona,Rillaboom,Electabuzz,Sneasler,Kingambit,Dragonite
In Person Event,Alex Gómez,https://pokepast.es/bbcb27556a5bd857,No,LAIC 2025,7th,Incineroar,Rillaboom,Electabuzz,Annihilape,Gholdengo,Dragonite
In Person Event,Oliver Eskolin,https://pokepast.es/c37feb8d728e9906,No,LAIC 2025,8th,Talonflame,Electabuzz,Sneasler,Ursaluna-Bloodmoon,Indeedee,Dragonite
In Person Event,Kenneth Gamboa,https://pokepast.es/787e237f42d3abe2,Yes,LAIC 2025,9th,Incineroar,Annihilape,Ursaluna-Bloodmoon,Whimsicott,Archaludon,Dragonite
In Person Event,Kylan Van Severen,https://pokepast.es/f4fd21d87b927381,No,LAIC 2025,10th,Volcarona,Dondozo,Tatsugiri,Annihilape,Archaludon,Dragonite
In Person Event,Eduardo Cunha,https://pokepast.es/86f8f1dda2afb3bd,No,LAIC 2025,11th,Incineroar,Rillaboom,Sneasler,Ursaluna-Bloodmoon,Gholdengo,Dragonite
In Person Event,Len Deuel,https://pokepast.es/ef85ecdeef9fa244,No,LAIC 2025,12th,Kilowattrel,Tyranitar,Corviknight,Gholdengo,Dragapult,Garchomp
In Person Event,Brady Smith,https://pokepast.es/ebd9af64b7056abd,Yes,LAIC 2025,13th,Incineroar,Amoonguss,Sneasler,Ursaluna-Bloodmoon,Gholdengo,Dragonite
In Person Event,Francesco P. Pero,https://pokepast.es/f57e81e37172fb0a,No,LAIC 2025,14th,Incineroar,Basculegion,Pelipper,Amoonguss,Gholdengo,Archaludon
In Person Event,Justin Tang,https://pokepast.es/2a741615701f1c43,Yes,LAIC 2025,15th,Arcanine,Primarina,Annihilape,Gholdengo,Ninetales-Alola,Dragonite
In Person Event,Shohei Kimura,https://pokepast.es/4dc7fb74f9473a7c,No,LAIC 2025,16th,Basculegion,Pelipper,Amoonguss,Sneasler,Gholdengo,Archaludon
In Person Event,Eros Braune,https://pokepast.es/962b56e236060673,No,LAIC 2025,17th,Basculegion,Pelipper,Rillaboom,Ursaluna-Bloodmoon,Murkrow,Archaludon
In Person Event,Michael Kelsch,https://pokepast.es/35b68bf1667680ca,Yes,LAIC 2025,18th,Primarina,Rillaboom,Sneasler,Magmar,Kingambit,Dragapult
In Person Event,Juan Manuel Odriozola,https://pokepast.es/eee066c8d1101f48,No,LAIC 2025,19th,Incineroar,Primarina,Ursaluna,Vivillon,Porygon2,Archaludon
In Person Event,Peng Chongjun,https://pokepast.es/2a741615701f1c43,Yes,LAIC 2025,20th,Arcanine,Primarina,Annihilape,Gholdengo,Ninetales-Alola,Dragonite
In Person Event,Yuki Zaninovich,https://pokepast.es/47577a4f3c7d8499,No,LAIC 2025,21th,Talonflame,Sneasler,Ursaluna-Bloodmoon,Indeedee-F,Gholdengo,Archaludon
In Person Event,Mattie Morgan,https://pokepast.es/ee133efc8d9c6879,No,LAIC 2025,22th,Incineroar,Amoonguss,Sneasler,Porygon2,Gholdengo,Dragonite
In Person Event,Federico Camporesi,https://pokepast.es/b62a5ae4077507a1,Yes,LAIC 2025,23th,Basculegion,Pelipper,Rillaboom,Electabuzz,Kingambit,Archaludon
In Person Event,Adam Colson,https://pokepast.es/54f4ef3fe4ff3c26,No,LAIC 2025,24th,Rillaboom,Sneasler,Magmar,Gholdengo,Ninetales-Alola,Dragonite
In Person Event,David Rodríguez,https://pokepast.es/582e1f3f56184bfe,No,LAIC 2025,25th,Talonflame,Rillaboom,Annihilape,Ursaluna-Bloodmoon,Gholdengo,Dragonite
In Person Event,Daniel Bezerra,https://pokepast.es/21b70f612f3b0aab,Yes,LAIC 2025,29th,Armarouge,Torkoal,Annihilape,Snorlax,Indeedee-F,Farigiraf
In Person Event,Luciano Muñoz,https://pokepast.es/abbb164d40405e4c,Yes,LAIC 2025,43th,Incineroar,Amoonguss,Ursaluna,Porygon2,Gholdengo,Hydreigon
In Person Event,Lorenzo Arce & Joseph Kwan,https://pokepast.es/64468502131a9c9d,Yes,LAIC 2025,63th,Incineroar,Pelipper,Gliscor,Sinistcha,Grimmsnarl,Archaludon
In Person Event,Lorenzo Arce & Joseph Kwan,https://pokepast.es/64468502131a9c9d,Yes,LAIC 2025,46th,Incineroar,Pelipper,Gliscor,Sinistcha,Grimmsnarl,Archaludon
In Person Event,Sebastian Rodríguez,https://pokepast.es/d0c5818c10ea9082,Yes,Buenos Aires Special 2025,8th,Incineroar,Sneasler,Ursaluna-Bloodmoon,Clefairy,Gholdengo,Dragonite
In Person Event,Federico Camporesi,https://pokepast.es/d250e8eb3c81c924,No,Gdansk Regional 2025,1st,Basculegion,Pelipper,Rillaboom,Electabuzz,Kingambit,Archaludon
In Person Event,Marco Silva,https://pokepast.es/b2de99392ac3806a,No,Gdansk Regional 2025,2nd,Charizard,Incineroar,Torkoal,Jumpluff,Ursaluna,Porygon2
In Person Event,Paul Hinta,https://pokepast.es/106116ef91925884,No,Gdansk Regional 2025,3rd,Volcarona,Basculegion,Rillaboom,Sneasler,Maushold-Family-of-Four,Dragonite
In Person Event,Hsuan-Chih Kuo,https://pokepast.es/c9cb3f75a7651b67,No,Gdansk Regional 2025,4th,Volcarona,Rillaboom,Sneasler,Maushold-Family-of-Four,Gholdengo,Dragonite
In Person Event,Michael Kelsch,https://pokepast.es/fc9b66f6b55b5a83,No,Gdansk Regional 2025,5th,Primarina,Rillaboom,Sneasler,Magmar,Kingambit,Dragapult
In Person Event,Víctor Medina,https://pokepast.es/1ce51a4542fb9d31,No,Gdansk Regional 2025,6th,Volcarona,Rillaboom,Electabuzz,Sneasler,Kingambit,Dragonite
In Person Event,Bartosz Kuskowski,https://pokepast.es/a9977677d13ef659,Yes,Gdansk Regional 2025,7th,Annihilape,Ursaluna-Bloodmoon,Maushold-Family-of-Four,Sinistcha,Klefki,Ninetales-Alola
In Person Event,Michał Kwiatkowski,https://pokepast.es/b4001bbd737b0b51,Yes,Gdansk Regional 2025,8th,Basculegion,Rillaboom,Sneasler,Magmar,Kingambit,Ninetales-Alola
In Person Event,Max Waterman,https://pokepast.es/472fa377aaeb3471,Yes,Gdansk Regional 2025,15th,Incineroar,Basculegion,Pelipper,Amoonguss,Gholdengo,Archaludon
In Person Event,Alberto Noguerol,https://pokepast.es/067e0288f46de436,Yes,Gdansk Regional 2025,16th,Volcarona,Dondozo,Tatsugiri,Annihilape,Archaludon,Dragonite
In Person Event,Oilver Gausden,https://pokepast.es/de6e912250df3349,Yes,Gdansk Regional 2025,18th,Volcarona,Rillaboom,Sneasler,Clefable,Kingambit,Dragapult
In Person Event,Roman Atanasiu Alonso,https://pokepast.es/3359e1bc5fa76bcd,Yes,Gdansk Regional 2025,46th,Delphox,Prinplup,Sneasler,Indeedee,Kingambit,Ninetales-Alola
In Person Event,Jude Lee,https://pokepast.es/13c946c994d65384,Yes,Singapore Premier Ball League 2025,1st,Incineroar,Volcarona,Rillaboom,Electabuzz,Sneasler,Kingambit
In Person Event,Patrick Jan Cabangin,https://pokepast.es/8409b70196f0dc3b,No,Singapore Premier Ball League 2025,2nd,Delphox,Sneasler,Indeedee,Murkrow,Gholdengo,Dragapult
In Person Event,Ryan Chua,https://pokepast.es/c8082631ed6a7c62,No,Singapore Premier Ball League 2025,3rd,Delphox,Amoonguss,Sneasler,Tyranitar,Indeedee-F,Dragapult
In Person Event,Ryan Pareja,https://pokepast.es/a741d83f39fc2d94,No,Singapore Premier Ball League 2025,4th,Incineroar,Amoonguss,Kingambit,Ninetales-Alola,Dragonite,Garchomp
In Person Event,Ivan Jingco,https://pokepast.es/6b909035077a3f69,No,Singapore Premier Ball League 2025,5th,Volcarona,Amoonguss,Tyranitar,Ursaluna-Bloodmoon,Gholdengo,Grimmsnarl
In Person Event,Joseph Otom,https://pokepast.es/cc20197b64fa380a,No,Singapore Premier Ball League 2025,6th,Incineroar,Basculegion,Pelipper,Amoonguss,Maushold-Family-of-Four,Archaludon
In Person Event,Mark Elumbra,https://pokepast.es/fc1c812568a7e27b,No,Singapore Premier Ball League 2025,7th,Pelipper,Primarina,Meowscarada,Ursaluna-Bloodmoon,Maushold-Family-of-Four,Archaludon
In Person Event,Leonard Trillana,https://pokepast.es/15ff42551e4140a7,No,Singapore Premier Ball League 2025,8th,Blastoise,Rillaboom,Sneasler,Murkrow,Farigiraf,Gholdengo
In Person Event,Roid Blancaflor,https://pokepast.es/ddf645c58b7f9df0,No,Singapore Premier Ball League 2025,9th,Basculegion,Pelipper,Ursaluna-Bloodmoon,Maushold-Family-of-Four,Whimsicott,Archaludon
In Person Event,Fonzell Mendoza,https://pokepast.es/739add7d47379d17,Yes,Singapore Premier Ball League 2025,10th,Primarina,Decidueye-Hisui,Meowscarada,Sneasler,Indeedee,Sylveon
In Person Event,Jasper Dee,https://pokepast.es/a9376b6843bd3af6,No,Singapore Premier Ball League 2025,11th,Incineroar,Basculegion,Pelipper,Amoonguss,Maushold-Family-of-Four,Archaludon
In Person Event,Jade Nulot,https://pokepast.es/37aac66fa7882e1b,No,Singapore Premier Ball League 2025,12th,Primarina,Rillaboom,Sneasler,Magmar,Kingambit,Dragapult
In Person Event,Francis Bion,https://pokepast.es/463c3868f6e4da19,No,Singapore Premier Ball League 2025,13th,Armarouge,Primarina,Decidueye-Hisui,Ursaluna,Indeedee-F,Porygon2
In Person Event,Paul Oliver Bautista,https://pokepast.es/1f62e0b0622d7630,No,Singapore Premier Ball League 2025,14th,Primarina,Rillaboom,Electabuzz,Sneasler,Kingambit,Dragapult
In Person Event,Rap Perez,https://pokepast.es/1aa99b20e59458ee,No,Singapore Premier Ball League 2025,15th,Volcarona,Annihilape,Ursaluna-Bloodmoon,Gholdengo,Grimmsnarl,Dragonite
In Person Event,Alvin Rambano,https://pokepast.es/68507e3d50cba067,No,Singapore Premier Ball League 2025,16th,Torkoal,Gallade,Braviary-Hisui,Indeedee-F,Smeargle,Weezing
In Person Event,Kohei Inomoto,https://pokepast.es/6d45f56b864d0790,Yes,Ganyu-Off #49,3rd,Incineroar,Rotom-Wash,Rillaboom,Sneasler,Ursaluna-Bloodmoon,Dragonite
In Person Event,Nils Dunlop,https://pokepast.es/5f92c94af36e5890,No,Lille Regional 2025,1st,Excadrill,Sneasler,Tyranitar,Indeedee,Magmar,Corviknight
In Person Event,Víctor Medina,https://pokepast.es/b570874a8153f838,No,Lille Regional 2025,2nd,Incineroar,Amoonguss,Kingambit,Ninetales-Alola,Dragonite,Garchomp
In Person Event,Joan Garcia,https://pokepast.es/20a7f6de3190980e,Yes,Lille Regional 2025,3rd,Volcarona,Dondozo,Rillaboom,Sneasler,Kingambit,Baxcalibur
In Person Event,Giuseppe Musicco,https://pokepast.es/274ad57c7a32d93e,No,Lille Regional 2025,4th,Incineroar,Sneasler,Ursaluna-Bloodmoon,Clefable,Gholdengo,Dragonite
